,date,surf_norm_irradiance (kwh/m2*day),max elevation (deg),sunrise,solar_noon,sunset,sunlight (hours),min sun_surf_angle (deg),recoverable power (kwh/day)
144,2019-05-25,7.544558439063898,72.6851940139562,5.866142095049293,13.114721794695924,20.363301494342554,14.508605904981797,7.633572725107332,3.1816666651070995
145,2019-05-26,7.545275819727873,72.86089416441035,5.85636168091092,13.116409581215343,20.37645748151977,14.531194573688303,7.806996405291931,3.1819691965492245
146,2019-05-27,7.5458969862354515,73.03055415026773,5.847067443637654,13.118232132807115,20.389396821976575,14.553073070945755,7.974402768729665,3.182231152870009
147,2019-05-28,7.54640744648861,73.19410630475446,5.838263383945862,13.120186068685303,20.40210875342474,14.574226744052627,8.135745891599628,3.1824464225089755
148,2019-05-29,7.546781515343556,73.35148413971271,5.829953176138163,13.122267795429941,20.41458241472172,14.59464118394417,8.29098158545941,3.182604173610759
149,2019-05-30,7.547027816419986,73.50262247255024,5.822140155802239,13.124473510908864,20.426806866015482,14.614302257814217,8.440067408664781,3.182708042900233
150,2019-05-31,7.547154716905453,73.64745756183387,5.814827307817122,13.126799208673221,20.438771109529316,14.633196142004415,8.582962678431695,3.1827615589605376
151,2019-06-01,7.547170315695909,73.7859272509928,5.808017254730009,13.129240682823692,20.450464110917373,14.651309355025433,8.719628483347261,3.1827681372317524
152,2019-06-02,7.547082432027629,73.91797111942951,5.801712245568392,13.131793533342766,20.461874821117142,14.66862879056794,8.85002769616398,3.1827310752167874
153,2019-06-03,7.546898594606846,74.04353064017387,5.795914145153597,13.134453171886587,20.472992198619576,14.68514175035576,8.974124986743579,3.1826535478971665
154,2019-06-04,7.546626031243183,74.1625493430573,5.790624423982865,13.137214828028224,20.483805232073586,14.70083597668834,9.09188683503377,3.1825386033612735
155,2019-06-05,7.546271658992355,74.27497298221634,5.785844148747345,13.140073555942624,20.4943029631379,14.715699684516359,9.203281543984781,3.182389158647364
156,2019-06-06,7.545842074813581,74.38074970657325,5.7815739735535185,13.143024241521484,20.504474509489448,14.729721592891204,9.308279252316025,3.18220799580364
157,2019-06-07,7.545343546746423,74.47983023180892,5.777814131914897,13.146061609905129,20.51430908789536,14.742890955627745,9.406851947062151,3.1819977581673746
158,2019-06-08,7.544782005611852,74.57216801219617,5.7745644295796374,13.149180233416331,20.52379603725302,14.755197591019522,9.498973475833614,3.181760946865112
159,2019-06-09,7.54416303724162,74.6577194105588,5.771824238258106,13.152374539879887,20.53292484150167,14.76663191044638,9.584619558734587,3.181499917535665
160,2019-06-10,7.543491875239952,74.7364438645296,5.769592490311876,13.15563882131002,20.541685152308165,14.777184945717144,9.6637677998918,3.1812168772775977
161,2019-06-11,7.542773394281083,74.80830404721918,5.767867674462814,13.158967242946279,20.55006681142974,14.786848374993617,9.73639769855058,3.1809138818226868
162,2019-06-12,7.5420121039458055,74.87326602037963,5.766647832577235,13.162353852617226,20.558059872657218,14.795614547147188,9.802490659706798,3.180592832936687
163,2019-06-13,7.541212143099878,74.93129937814997,5.765930557575865,13.165792590410017,20.56565462324417,14.803476504406198,9.862030004246268,3.1802554760486155
164,2019-06-14,7.5403772748166,74.98237737951555,5.765712992515588,13.169277298622449,20.572841604729312,14.810428003159608,9.915000978574971,3.1799033981095133
165,2019-06-15,7.539510881845666,75.02647706768974,5.765991830883471,13.172801731973333,20.579611633063198,14.816463532792154,9.961390763728522,3.179538025681588
166,2019-06-16,7.538615962629672,75.06357937474833,5.76676331813773,13.17635956804572,20.58595581795371,14.821578332436356,10.00118848396078,3.1791606232583067
167,2019-06-17,7.537695127869523,75.0936692100012,5.768023254523659,13.179944417936479,20.5918655813493,14.82576840553816,10.034385214819647,3.1787722918159695
168,2019-06-18,7.536750597639233,75.1167355307761,5.769766999185894,13.183549837085305,20.597332674984717,14.829030532145985,10.060973990729366,3.1783739675969747
169,2019-06-19,7.535784199050299,75.13277139451428,5.771989475590874,13.18716933625504,20.60234919691921,14.8313622788462,10.080949812109193,3.1779664211248453
170,2019-06-20,7.534797364465334,75.14177399132522,5.774685178265823,13.190796392634745,20.606907607003667,14.832762006282476,10.094309652071825,3.177550256450886
171,2019-06-21,7.533791130260058,75.14374465642155,5.77784818085277,13.194424461036542,20.611000741220312,14.833228874211548,10.101052462758389,3.177125910632098
172,2019-06-22,7.532766136132329,75.13868886214063,5.781472145467966,13.1980469851567,20.614621824845432,14.832762844063422,10.101179181378946,3.1766936534397834
173,2019-06-23,7.531722624956371,75.12661618955582,5.785550333348927,13.201657408871132,20.617764484393334,14.831364678989692,10.094692736047838,3.1762535872980697
174,2019-06-24,7.53066044317987,75.10754027997677,5.790075616763318,13.205249187535488,20.620422758307658,14.829035941400162,10.08159805151776,3.1758056474513743
175,2019-06-25,7.529579041761146,75.08147876692917,5.795040492145544,13.20881579925971,20.62259110637388,14.825778988003432,10.061902054936622,3.1753496023596246
176,2019-06-26,7.528510121353611,75.04845318948058,5.8004370944193,13.212350756127265,20.624264417835228,14.821596962383296,10.035613681773384,3.1748988207193505
177,2019-06-27,7.52745023327874,75.00848888803777,5.806257212456497,13.215847615329253,20.625438018202004,14.816493785158238,10.002743882083722,3.174451848165052
178,2019-06-28,7.526367549422989,74.96161488397229,5.812492305615584,13.219299990183963,20.62610767475234,14.810474141786349,9.963305627311811,3.1739952622481273
179,2019-06-29,7.52525976502346,74.90786374463029,5.8191335212955995,13.222701561012947,20.626269600730293,14.803543468092284,9.917313917856976,3.173528091011457
180,2019-06-30,7.524124192509138,74.84727143545054,5.826171713435565,13.22604608584507,20.625920458254573,14.795707933606252,9.86478579166922,3.173049201061328
